event_id,claim_level,cohort_role,residual_type,jointness,no_joint_residual,no_population_claim,formula,seed,n_draw,ds_n_samples,kerr_n_samples,f_obs_q05_hz,f_obs_q50_hz,f_obs_q95_hz,tau_q05_s,tau_q50_s,tau_q95_s,Mf_q05_msun,Mf_q50_msun,Mf_q95_msun,chi_q05,chi_q50,chi_q95,f_kerr_q05_hz,f_kerr_q50_hz,f_kerr_q95_hz,residual_q05_hz,residual_q50_hz,residual_q95_hz,p_residual_gt_0,ds_path,kerr_path
S190708ap,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,108761,55020,47.55061824687141,768.383629459296,919.9273054784783,0.0021203523343396994,0.026408986373037596,0.04785067743730252,25.098005514831605,37.942061553360475,56.61236538675949,0.04174839093447131,0.4043644539659634,0.8300594441046161,319.355709392288,376.2178731693609,543.5211688871527,-326.25459996763067,368.24348616253906,565.8160511545083,0.7323,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190708ap_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190708ap_pyring_Kerr_220_0M.h5
S190727h,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,58048,58045,73.91606482758797,350.58023209822227,936.641849303924,0.0030582967713453954,0.02051480625167891,0.046529222345494746,80.7408946008371,101.46376731904911,129.00646255513902,0.07875177081159807,0.5652830413001267,0.8883315058810519,138.96093031349122,156.7302405112522,172.4092473756723,-79.18485477100914,193.7252578917317,780.6652848845645,0.87168,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190727h_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190727h_pyring_Kerr_220_0M.h5
S190828j,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,78701,86080,233.67815637348133,247.63234825589865,541.0827079340175,0.006550016337567929,0.016349610490501515,0.04185390204582824,66.41843635803535,96.99484231448132,114.33598278200189,0.3483615764089589,0.9232888028600498,0.9825823269804345,204.64320472742318,232.6853893436482,245.83748187212856,-4.901084239550768,17.192223266967105,318.5088387108507,0.90786,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190828j_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190828j_pyring_Kerr_220_0M.h5
S190910s,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,61650,70135,154.55792846764828,165.30183022142387,173.91000276975197,0.006842373666502844,0.01275784041313149,0.028944179802906488,102.84894547098548,128.6770555879113,148.4235740423715,0.6230110428252194,0.880211165952787,0.9570978800706965,154.38969284475948,162.3614845839889,168.08881438134813,-8.901020458046059,3.1389926403598736,14.866443051982612,0.69638,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190910s_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190910s_pyring_Kerr_220_0M.h5
S190915ak,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,74068,59524,38.87653509330952,508.2001261790017,955.9096496870967,0.0014138002691268285,0.01577645758175999,0.046085633965437064,59.60672007224278,73.80884894108743,95.89257192235458,0.05771540139334035,0.45737253866665156,0.8327460748160347,176.90030476982162,202.91064154946787,222.42852070101182,-168.44670519036532,306.3326447688592,751.9352754807143,0.66676,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190915ak_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S190915ak_pyring_Kerr_220_0M.h5
S191109d,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,57667,71976,100.9332212968892,105.61243208952044,111.37849265361977,0.01186100862654572,0.015332771822868557,0.02004588103980433,205.0970027939708,222.15658174491605,239.75992499559794,0.9057199842208185,0.9432238557657505,0.9655241066688426,102.11149676856341,105.55996735481966,109.16743075503295,-5.854656807588948,0.1129499379995238,6.76206651786648,0.51136,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S191109d_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S191109d_pyring_Kerr_220_0M.h5
S191222n,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,102499,50832,101.53005276584624,156.45777903075268,912.3101146580273,0.0026655941049417695,0.01298525184562838,0.044795209104326425,104.89489014386528,134.8333347114039,172.67942620309165,0.11915755279658952,0.6339644678601445,0.90116169948679,110.04046725255512,122.25115739730887,135.08586376584532,-22.183994420422632,36.2579004269219,790.531083141693,0.8779,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S191222n_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S191222n_pyring_Kerr_220_0M.h5
S200129m,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,60969,56325,220.93450014509773,250.0117172284641,289.2795559633852,0.0012827233285608165,0.002811566356783749,0.004878846313886263,62.6251977883353,75.37853687559902,87.77301930420447,0.20608261366215141,0.5722893985153554,0.773729682654884,198.67992441094003,209.2634848104768,219.94606306915483,9.857232973382116,40.81944405445793,81.17662987563499,0.98256,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S200129m_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S200129m_pyring_Kerr_220_0M.h5
S200224ca,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,60755,65534,171.26724205579737,192.17470303122047,204.3907478621228,0.0031697058488370827,0.005708776094680381,0.011324100412208939,92.20229758150447,108.96504382763693,123.30192528539253,0.5824914576694855,0.8085479931112995,0.9099508128015927,165.26918941871097,175.4715124910026,184.26717318192925,-5.902147158492786,16.313744049240242,32.8765738498271,0.90512,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S200224ca_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S200224ca_pyring_Kerr_220_0M.h5
S200311bg,exploratory_only,expansion_after_smoke,residual_220_unpaired_composition,unpaired_same_event,True,True,Momega_R=1.5251-1.1568*(1-chi)^0.1292; f_Hz=32314*Momega_R/Mf,42,50000,47901,53796,76.39465782042113,321.0723258434603,945.5089738824308,0.0021660648712594588,0.021469648180308377,0.04705286596976907,64.24731106516697,83.48167836104827,105.67830725317982,0.2544578116431593,0.7166115746465995,0.9090535931389125,190.20761331526515,207.68128169684175,233.47873671407396,-129.47769645781776,118.9406309709365,735.0373457657579,0.84536,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S200311bg_pyring_DS_1mode_10M.h5,data/IGWN-GWTC3-TGR-v2-rin/rin/rin_S200311bg_pyring_Kerr_220_0M.h5
